Name,Mean (mo %),t-stat,Vol (ann %),Sharpe (ann),Max DD,Skew,Kurt,N,FF4 alpha (%),FF4 t
CAN,1.6868052504479143,8.051341370059285,15.6836003372676,1.290626040583069,-0.33356276726961964,0.46492340275961,3.124935870280507,467,1.1099606010121172,4.508605747374142
FRA,1.4037025177275289,6.387060812179788,16.023836827939235,1.0512107926211727,-0.3273419868360695,0.2736437762228632,1.995965586925804,443,1.0560923530752397,4.902141326464898
ISR,1.252048121192663,5.280760400330967,15.03272055407531,0.9994583083125864,-0.29515591009149955,1.0954925028012468,5.04311771916311,335,0.830667670691565,3.3397887599137484
AUS,1.1993949815301905,5.819719508637722,15.060202181990071,0.9556803822709646,-0.40626930067990097,0.64193875623347,3.8641311070158566,445,1.0208053729915607,4.368035261377587
SGP,1.0089286129679123,5.480988106207233,13.421283964957023,0.9020853285890308,-0.4347081473307889,1.0829113898978937,9.043855290606714,443,0.6585508608203943,3.285941905452382
HKG,1.4298170103657397,4.887782252480071,21.328538416641248,0.8044528785433217,-0.6327098092107311,0.5606906499316393,6.4204165413645296,443,1.3998248125861141,3.9065460111515473
USA,0.6532411059782361,6.86225246201968,11.13884752123117,0.7037436554183485,-0.5464802323570683,-0.670948198913363,7.081508398534389,1141,0.49677828277331326,4.358385814743237
DEU,0.9772964813867548,4.209188674129527,16.928576020833066,0.6927669381174528,-0.48017841041889064,-0.13572231697317805,1.5591044494114827,443,0.5755602988515413,2.3746018502108215
NOR,1.053394923063947,3.925146616243736,19.567161225141774,0.6460180366135749,-0.6936675979647275,0.26319435637688254,1.535057846557664,443,0.8896897640577137,2.954653203977557
NZL,1.0048879409079594,3.6196524727573727,20.2415257482795,0.5957384557298245,-0.5616079809153727,0.8034852909861325,2.4889942221010593,443,0.7409361392775605,2.736500670084343
NLD,0.8449114289694758,3.560058522396601,17.30400108591609,0.585930219103251,-0.43611398882782404,0.45640967123961923,4.308842802270042,443,0.7598229306664623,2.9749917021135848
FIN,0.9019883020508764,3.3050648894607035,19.898182087601054,0.5439622361961937,-0.4709990461924818,0.5927437918129899,2.8966577183276954,443,0.7431948157990262,2.7909416850980624
ITA,0.5963828566319298,3.241001869558306,13.416472830257767,0.5334184602858589,-0.44690877261444517,0.5688040510263445,3.250611430955523,443,0.40342843561590985,1.834810809557507
DNK,0.7142080917715788,3.0946567998190018,16.826925040534302,0.5093323397241928,-0.5925938964952735,0.06341944202991613,2.141797367537232,443,0.3389524735685582,1.2895729192740877
SWE,0.7835258727143891,3.075933278718774,18.572437998192115,0.5062507395899187,-0.5681923938128609,-0.2547507399980467,3.147368551040848,443,0.4622160538860174,1.6922876221313694
PRT,1.4019597995370292,2.953772336672827,33.65551002212217,0.49987409441681474,-0.43560686561614903,1.358952498627964,4.226055553730086,419,1.6182112108637192,3.8770920866821452
GRC,1.0612978939573987,2.596751848183653,28.702411530017425,0.4437109653371711,-0.60391966833207,0.621783271940062,4.449132715746314,411,1.1948479074727922,2.675560112768241
BEL,0.5379434364552743,2.4357858300441086,16.10237733401107,0.400892433679871,-0.42585223382750015,0.02207607741559609,2.376899513885914,443,0.3697402442148625,1.8054734509968193
CHE,0.5127847333262185,2.4128189741259822,15.495401494719745,0.39711244668371304,-0.3910951038984033,0.5515511947244108,2.9463552106036914,443,0.365793092917494,1.5833931509613997
ESP,0.5200655384781503,2.2478351472537694,16.86887442517774,0.3699586768174099,-0.5504006879843527,-0.02750275880104775,2.8143412125220664,443,0.36049052756751127,1.4035229630002637
GBR,0.39674242597712467,1.8809380666844722,15.378948226661905,0.3095731282501938,-0.7029931969143692,-0.3657170778114646,3.004261679099236,443,-0.061426851225186534,-0.2668855308391081
JPN,0.29613741585839193,1.5763488668637549,13.69725148445314,0.2594424870080117,-0.5999437749171987,0.14206311095645308,0.8958231826893512,443,0.2639553100330799,1.4594041520458492
AUT,0.4547586470318607,1.448009892764727,22.898230506249842,0.23831988951691557,-0.7580449628668458,0.4891508230427052,1.8136251901754106,443,0.22202052915599185,0.8359527518531136
IRL,0.05698186638452844,0.11558511278770363,35.94407030406722,0.01902351043801983,-0.9300972478577391,0.09907812782675555,2.1232957265729633,443,0.1724855756540799,0.30989717107531795
