Model,Alpha (mo %),t-stat,MKT beta,R2,N
CAPM,0.7101498912156599,5.7955560007739,-0.08320455603831697,0.018184089411807047,1141
FF3,0.7043204777400103,5.876759850686245,-0.09053731680689256,0.01995844242228828,1141
Carhart,0.49677828277331326,4.358385814743237,-0.03425264306306089,0.10500457742105362,1141
